 ,No-brainer keywords,Keywords as separate words (simulated in tool),Negative keywords,Headline,Link pointing to,Bottom-text
Cat,"cattery, catrescue, rescuedcat, kitten, kitty, meow, feline","cat, cats","Catherine,catwalk,",Do you like cats?,https://www.ultimatelysocial.com/Cat-themed-icons/?utm_source=any_settings_page&utm_campaign=Cat_icons&utm_medium=banner,See all cat-themed-icons >
Horse,"equine, gallop","horse, horses, pony, ponies","horseengine, seahorses, seahorse, seapony, seaponies, horseengines, ponytail",Do you like horses?,https://www.ultimatelysocial.com/Horse-themed-icons/?utm_source=any_settings_page&utm_campaign=Horse_icons&utm_medium=banner,See all horse-themed-icons >
Teeth,"dentist, teeth, dental",tooth,"bluetooth, gadgetooth",You got a thing with teeth?,https://www.ultimatelysocial.com/Teeth-shaped-icons/?utm_source=any_settings_page&utm_campaign=Teeth_icons&utm_medium=banner,See all teeth-themed-icons >
Beer,"beer, brewery, oktoberfest, barley, beerfest, brewers, brewer","brew, stout, malt, brews, stouts, malts","hebrew, malta",You like beer?,https://www.ultimatelysocial.com/Beer-themed-icons/?utm_source=any_settings_page&utm_campaign=Beer_icons&utm_medium=banner,See all beer-themed-icons >
Photography,"photography, snapshot, fotografia","camera, photo, snap, cameras, photos, snaps, foto, ","cameracivile, cameradelcommercio, snapdragon, snappy",You like photography?,https://www.ultimatelysocial.com/Photography-themed-icons/?utm_source=any_settings_page&utm_campaign=Photography_icons&utm_medium=banner,See all photography-themed-icons >
Realestate,"realestate, realtor, property, immoveables, accomodation","housing, housings, houses, house, casa ",bakehouse,Are you into real estate?,https://www.ultimatelysocial.com/Realestate-themed-icons/?utm_source=any_settings_page&utm_campaign=Realestate_icons&utm_medium=banner,See all real-estate-themed-icons >
Cooking,"cooking, recipe, chef, baking, roasting, grilling, frying, resto, restaurant, culinary, culinaria, salad, kitchen","cook, bake, grill, fry, cooks, bakes, grills, frys, dine","grillo, grilla, noureddine",You like cooking?,https://www.ultimatelysocial.com/Cooking-themed-icons/?utm_source=any_settings_page&utm_campaign=Cooking_icons&utm_medium=banner,See all cooking-themed-icons >
Drinking,"drinking, wine, winery, softdrinks, booze, guzzle","drunk, drink, drunks, drinks",,You like drinks?,https://www.ultimatelysocial.com/Drinking-themed-icons/?utm_source=any_settings_page&utm_campaign=Drinking_icons&utm_medium=banner,See all drinking-themed-icons >
Travel,"travel, journey, trekking, voyage, traveler, tourist, tourism, maps","trek, trip, treks, trips, hike, hiking","startrek, trekstar, strip, stripper, trippy, stripping, tripwire",You like travelling?,https://www.ultimatelysocial.com/Travel-themed-icons/?utm_source=any_settings_page&utm_campaign=Travel_icons&utm_medium=banner,See all travel-themed-icons >
Music,"music, sound, rhythm, guitar, singing, audio, piano, violin","drums, cello, celloes, song, songs","eardrums, balisong, thaisong",You like music?,https://www.ultimatelysocial.com/Music-themed-icons/?utm_source=any_settings_page&utm_campaign=Music_icons&utm_medium=banner,See all music-themed-icons >
Dogs,"puppy, pups, puppies, pooch, puppies","pup, dog, dogs","puppet, puppets, dogana",You like dogs?,https://www.ultimatelysocial.com/Dogs-themed-icons/?utm_source=any_settings_page&utm_campaign=Dogs_icons&utm_medium=banner,See all dogs-themed-icons >
Love,"dating, cupid, relationship, relationships, couples","date, dates",,You're a loving person?,https://www.ultimatelysocial.com/Love-themed-icons/?utm_source=any_settings_page&utm_campaign=Love_icons&utm_medium=banner,See all love-themed-icons >
,,,,,,
,,,,,,
Naturegardening,"environment, flora, flower, flowers, gardening, botany, sapling, saplings, greenpeace, fleurs, fleur","forest, forests, tree, trees, nature, garden","forestcity, gardenia",Is your site about nature / gardening?,https://www.ultimatelysocial.com/Naturegardening-themed-icons/?utm_source=any_settings_page&utm_campaign=Naturegardening_icons&utm_medium=banner,See all nature-themed-icons >
,,,,,,
,,,,,,
finance,"investing, finance, invest, money, business, entrepreneur, marketing, accounting, accountant, trading, taxes","bank, banks. loan, loans, seo, tax","foodbank, riverbanks, riverbank, taxi, taxis",Is your site about money?,https://www.ultimatelysocial.com/finance-themed-icons/?utm_source=any_settings_page&utm_campaign=finance_icons&utm_medium=banner,See all money-themed-icons >
Sports,"football, soccer, sport, sporting, baseball, basketball, tennis, rugby, boxing, cricket, bodybuilding, fitness, workout","muscle, muscles, ski","musclecar, musclecars",Is your site about sports?,https://www.ultimatelysocial.com/Sports-themed-icons/?utm_source=any_settings_page&utm_campaign=Sports_icons&utm_medium=banner,See all sports-themed-icons >
Automotives,"motorbikes, bike, truck, trucks, motors, automobile, automotive, automobiles, automotives, locomotive, locomotives, buses, trisikel, triciclo, biker, motociclismo, motociclista, motociclo, nissan, toyota, mitsubishi, ford, suzuki, fiat","car, cars, ride, rides, auto, trains, bus, tires, tire, sedan, SUV, wheel, wheels, wheelz, audi","carmen, carlo, carlos, carmela, carla, cartoon, carpet, carson, carpentry, carpenteer, carta, madagascar, ridere, automatick, automeritum, automation, buscando, bush, busk, tired, retired, busca, sedano, wheelchair, cartwheel, cartwheels",Is your site about automotives?,https://www.ultimatelysocial.com/Automotives-themed-icons/?utm_source=any_settings_page&utm_campaign=Automotives_icons&utm_medium=banner,See all automotives-themed-icons >
Tech,"computer, hardware, gadget, gadgets, computing, software, android","app, apps, pc, cpu, gpu, chip, chipset","appartement, applied, apprenties, apprentie, apparel, apparels, apprentice, apprentices, appointment, appointments, approach, apporoaches, apple, apples, potatochip, potatochips",Is your site about tech?,https://www.ultimatelysocial.com/Tech-themed-icons/?utm_source=any_settings_page&utm_campaign=Tech_icons&utm_medium=banner,See all IT-themed-icons >
Gaming,"gaming, games, playstation, xbox, nintendo, casino, poker, blackjack, gambling, ludico","ps2, ps3, ps4, ludo",,Is your site about gaming?,https://www.ultimatelysocial.com/Gaming-themed-icons/?utm_source=any_settings_page&utm_campaign=Gaming_icons&utm_medium=banner,See all games-themed-icons >
Literature,"literature, literatures","book, books, novel, novels, reading","booklet, booklets, facebook, ouchbook, sketchbook, sketchbooks, notebook, notebooks, bookkeeper, bookkeepers, bookeeper, bookeepers, chromebook, chromebooks, scrapbook, scrapbooks, novelty",,https://www.ultimatelysocial.com/Literature-themed-icons/?utm_source=any_settings_page&utm_campaign=Literature_icons&utm_medium=banner,See all book-themed-icons >
Religion,"jesus, buddha, church, churches, mosque, islam, muslim, quran, shinto, buddhism, buddhist, buddhists, muslims, catholic, catholics, christians, hebrew, hebrews, priest, priesthood, priests, judaism, judaists, judahist, mormon, mormons, judaica, shabbat, tanakh, torah, torahs, tanakhs, shabbats, testament, newtestament, oldtestament, ramadan, baptist, baptists","god, gods, christ, faith","godaddy, godfather, godfathers, godmother, godmothers, godmom, christmas, christabel",Is your site about religion?,https://www.ultimatelysocial.com/Religion-themed-icons/?utm_source=any_settings_page&utm_campaign=Religion_icons&utm_medium=banner,See all religion-themed-icons >
Art-Design,"Artist, artists, design, designer, illustration, illustrations, crafting, artista, illustrator, creative, painting, painter, paint,","craft, crafts, crafty, printing, art, arts","minecraft, warcraft, aircraft, singcraft, witchcraft, imprinting, stuttgart, smart, heart, hearts, start, starts. smarts, martha, apartamentre. stewart, stewarts, mart, marts, dart, darts, artrite",Is your site about art or design?,https://www.ultimatelysocial.com/Art-Design-themed-icons/?utm_source=any_settings_page&utm_campaign=Art-Design_icons&utm_medium=banner,See all art/design-themed-icons >
Fashion,"fashion, fashionista, clothes, clothing, shoes, gown, gowns,dressage, makeup, apparels, apparel, leather, shirt,"," dress, dresses, wear, mode, moda","dressing, address",Is your site about fashion?,https://www.ultimatelysocial.com/Fashion-themed-icons/?utm_source=any_settings_page&utm_campaign=Fashion_icons&utm_medium=banner,See all beauty/fashion-themed-icons >
Health,"doctor, clinic, medicine, wellness, clinica, healthcare, dentist, dental, surgeon, surgery, pharmacy, farmacy, klinik","health, pharma",,Is your site about health?,https://www.ultimatelysocial.com/Health-themed-icons/?utm_source=any_settings_page&utm_campaign=Health_icons&utm_medium=banner,See all health-themed-icons >
Animals,"wildlife, fauna, animals,animal, zoology",,,You like animals?,https://www.ultimatelysocial.com/Animals-themed-icons/?utm_source=any_settings_page&utm_campaign=Animals_icons&utm_medium=banner,See all animals-themed-icons >
Database,"mysql, query, newsql, nosql",sql,,Are you into big data?,https://www.ultimatelysocial.com/Database-themed-icons/?utm_source=any_settings_page&utm_campaign=Database_icons&utm_medium=banner,
Flowers,"flower, flowering,orchid, floreal, roses, blossom, infloressence, effloressence, flowete","floret, florets, fiore, fiori,","floretta, fiorello, fiorella, fioretta, fioretto",Are you a floreal person?,https://www.ultimatelysocial.com/Flowers-themed-icons/?utm_source=any_settings_page&utm_campaign=Flowers_icons&utm_medium=banner,
Shoes,"sneaker, sneakers, moccassin, moccassins, sandal, sandals, footwear, footgear, footgears","shoe, shoes, slippers","horseshoe, horseshoes, slippery",You like Shoes?,https://www.ultimatelysocial.com/Shoes-themed-icons/?utm_source=any_settings_page&utm_campaign=Shoes_icons&utm_medium=banner,
Agriculture,"agriculture, agricultural, agrarian, agriturismo, agrario, agricoltore, agricoltore, agricolo, agricoli, farmboy, farmgirl, farmer, farmers, harvest, harvesting, farmhouse","farm, farms","farmacy, farmacia, farmacie. farmington, bakefarm, farmshop",Is your site about agriculture and rural life?,https://www.ultimatelysocial.com/Agriculture-themed-icons/?utm_source=any_settings_page&utm_campaign=Agriculture_icons&utm_medium=banner,
Theatre,"theatre, theatres, broadway, dramaturgy, dramaturgies, theatrics. teatre, machaka, dance, dancing, dancer","opera, operas","operabrowser, operator, operators, operated",Do you love Theatre?,https://www.ultimatelysocial.com/Theatre-themed-icons/?utm_source=any_settings_page&utm_campaign=Theatre_icons&utm_medium=banner,
Beauty,"beauty, skincare, salon","spa, spas, nail, nails","newspaper, space, spaghetti, spasetti, thumbnail, thumbnails",Your site is all about beauty?,https://www.ultimatelysocial.com/Beauty-themed-icons/?utm_source=any_settings_page&utm_campaign=Beauty_icons&utm_medium=banner,
Holidays,"holiday, holidays, vaction, vacations, vacationer, hostel, hotel",,,Is your site about vacations and holidays?,https://www.ultimatelysocial.com/Holidays-themed-icons/?utm_source=any_settings_page&utm_campaign=Holidays_icons&utm_medium=banner,
Golf,"Golf, Golfer",pga,,Are you a golf fan?,https://www.ultimatelysocial.com/Golf-themed-icons/?utm_source=any_settings_page&utm_campaign=Golf_icons&utm_medium=banner,
Cricket,,Cricket,Crickets,Are you a cricket fanatic?,https://www.ultimatelysocial.com/Cricket-themed-icons/?utm_source=any_settings_page&utm_campaign=Cricket_icons&utm_medium=banner,
Motorsports,"rally, rallye, motoGP","Formula1, F1, Grand Prix, Fia",,Are you into motorsports?,https://www.ultimatelysocial.com/Motorsports-themed-icons/?utm_source=any_settings_page&utm_campaign=Motorsports_icons&utm_medium=banner,
Baseball,"baseball, baseballs, homerun, homeruns",,,Are you a baseball fanatic?,https://www.ultimatelysocial.com/Baseball-themed-icons/?utm_source=any_settings_page&utm_campaign=Baseball_icons&utm_medium=banner,
Martial-Arts,"kungfu, karate, martialarts, martial-arts, mma, kickboxing, muaythai, muay-thai, kempo, martial-artist, martialartist, judo, jujitsu","mma, ufc",,Are you into martial arts?,https://www.ultimatelysocial.com/Martial-Arts-themed-icons/?utm_source=any_settings_page&utm_campaign=Martial-Arts_icons&utm_medium=banner,
Sky-Diving,"skydiving, skydiver, skydivers, sky-diving, sky-diver, sky-divers, parachute, parachuting",,,Are you into sky diving?,https://www.ultimatelysocial.com/Sky-Diving-themed-icons/?utm_source=any_settings_page&utm_campaign=Sky-Diving_icons&utm_medium=banner,
American-Football,"americanfootball, gridiron","NFL, NCAA",,Are you an american football fan?,https://www.ultimatelysocial.com/American-Football-themed-icons/?utm_source=any_settings_page&utm_campaign=American-Football_icons&utm_medium=banner,
Tennis,tennis,,,Are you a tennis fan?,https://www.ultimatelysocial.com/Tennis-themed-icons/?utm_source=any_settings_page&utm_campaign=Tennis_icons&utm_medium=banner,
Volleyball,"volley, volleyball, pallavolo",,,Are you a volleyball fan?,https://www.ultimatelysocial.com/Volleyball-themed-icons/?utm_source=any_settings_page&utm_campaign=Volleyball_icons&utm_medium=banner,
Snooker,"snooker, snooker",,,Are you into snooker?,https://www.ultimatelysocial.com/Snooker-themed-icons/?utm_source=any_settings_page&utm_campaign=Snooker_icons&utm_medium=banner,
DIY,"do-it-yourself, doityourself, lifehack, lifehacker, lifehackers, mrfixit, mrfix-it","DIY, repair, repairing, repair",,Your site is about DIY,https://www.ultimatelysocial.com/DIY-themed-icons/?utm_source=any_settings_page&utm_campaign=DIY_icons&utm_medium=banner,
Video,"Movie, Cinema, filmaker, filmakers","TV, Film, video, videos","montevideo, videogame, videogames",Is your site about video entertainment?,https://www.ultimatelysocial.com/Video-themed-icons/?utm_source=any_settings_page&utm_campaign=Video_icons&utm_medium=banner,
Law,"attorney, attorneys, lawyer, lawyers, tribunal, tribunals, abogado, adwokat","law, laws, judge, judges",,Are you a lawyer?,https://www.ultimatelysocial.com/Law-themed-icons/?utm_source=any_settings_page&utm_campaign=Law_icons&utm_medium=banner,
Occult,"paranormal, occult, occultism, illusionism, illusionist, parapsychology","ghost, ghosts, haunted, ",ghostscript,Is your site about paranormal?,https://www.ultimatelysocial.com/Occult-themed-icons/?utm_source=any_settings_page&utm_campaign=Occult_icons&utm_medium=banner,
Toys,"LEGO, Playmobil, monopoly, boardgames, board-games","toys, toy, kid, kids","sextoy, sextoys",Are you into toys?,https://www.ultimatelysocial.com/Toys-themed-icons/?utm_source=any_settings_page&utm_campaign=Toys_icons&utm_medium=banner,
Fishing,"fishing, fisherman, fishermans",,,Do you love fishing?,https://www.ultimatelysocial.com/Fishing-themed-icons/?utm_source=any_settings_page&utm_campaign=Fishing_icons&utm_medium=banner,
Fantasy,"Elves, fairy, fairies","fantasy, dungeon, d&d, dungeons",,Are you a fantasy geek?,https://www.ultimatelysocial.com/Fantasy-themed-icons/?utm_source=any_settings_page&utm_campaign=Fantasy_icons&utm_medium=banner,
Scifi,"sciencefiction, science-fiction, scifi, sci-fi, starship, starships, spaceship, spaceships, startrek, starwars",,,Are you a sci-fi geek?,https://www.ultimatelysocial.com/Scifi-themed-icons/?utm_source=any_settings_page&utm_campaign=Scifi_icons&utm_medium=banner,
Shopping,"ecommerce, e-commerce, voucher, coupon, boutique","shop, shops, shopper, shoppers, shopping, shoppings","photoshop, photoshops, photoshopper, photoshoppers,photoshopping, photoshoppings",Is your site about ecommerce?,https://www.ultimatelysocial.com/Shopping-themed-icons/?utm_source=any_settings_page&utm_campaign=Shopping_icons&utm_medium=banner,
Dinosaurs,"paleontology, palaeontology, paleontologist, dinosaur, dinosaurs, pterosaur, pterosaurs, jurassic, triassic, cretaceous, mesozoic",,,Do you love dinosaurs?,https://www.ultimatelysocial.com/Dinosaurs-themed-icons/?utm_source=any_settings_page&utm_campaign=Dinosaurs_icons&utm_medium=banner,
Vegetables,"vegetables, vegetarian, veggie, vegan, verdure, verdura, legume, salad, aubergine, beet, broccoli, cabbage, pepper, cauliflower, cucumber, garlic, potato, olive, onion, pumpkin, squash ",,"beetribe, beetravel, beetribes, beetravels",Do you love vegan cuisine?,https://www.ultimatelysocial.com/Vegetables-themed-icons/?utm_source=any_settings_page&utm_campaign=Vegetables_icons&utm_medium=banner,
Fruits," grape, grapes, pommegrenade, peach, strawberry, strawberries, pineapple, watermelon, frutta, fruity","mango, mangoes, fruit, fruits,",,Is your website all about fruit?,https://www.ultimatelysocial.com/Fruits-themed-icons/?utm_source=any_settings_page&utm_campaign=Fruits_icons&utm_medium=banner,
SeaLife,"fish, fishes, dolphin, whale, whale","crab, crabs",,Do you love marine life?,https://www.ultimatelysocial.com/SeaLife-themed-icons/?utm_source=any_settings_page&utm_campaign=SeaLife_icons&utm_medium=banner,
Science,"science, sciences, scientific, scientist, scientists, physics, quantum, astronomy, mathematic, robotics, nasa, mathematica, Invention, inventions, genious, gizmo, gizmos, contraption, contraptions, novelty, novelties",math,,Are you into science?,https://www.ultimatelysocial.com/Science-themed-icons/?utm_source=any_settings_page&utm_campaign=Science_icons&utm_medium=banner,
Hunting,"hunting, hunter, poaching, poach, falconry, falconer",,,Is your website about hunting?,https://www.ultimatelysocial.com/Hunting-themed-icons/?utm_source=any_settings_page&utm_campaign=Hunting_icons&utm_medium=banner,
Flags,"canada, italy, india, germany, philippines, japan, korea, switzerland, finland, china, taiwan, spain, argentina, france, turkey, iran, iraq, syria, lebanon, united kingdom, thailand, russia, ukraine, pakistan, ethiopia, egypt, netherlands, singapore, sweden, ireland, canadian, italian, italiano, indian, german, filipino, pinoy, pinay, japanese, nihon, korean, finnish, chinese, taiwanese, spanish, argentino, french, turkish, iranian, syrian, lebanese, english, thai, russian, ukrain, pakistani, ethiopian, egyptian, singaporean, swedish, irish, indonesia, indonesian, malaysia, malaysian, ","usa, uae, uk",,Your site is about a certain country? ,https://www.ultimatelysocial.com/Flags-themed-icons/?utm_source=any_settings_page&utm_campaign=Flags_icons&utm_medium=banner,
Jewelry,"jewel, jewelry, earring, pendant, necklace, watches","diamond, diamonds, watch",,Your site is about jewlery?,https://www.ultimatelysocial.com/Jewelry-themed-icons/?utm_source=any_settings_page&utm_campaign=Jewelry_icons&utm_medium=banner,
Family,"parenthood, motherhood, pregnancy, fatherhood,","mother, mom, moms mothers, father, mommy, mama","mothership, motherships",Is your site about family?,https://www.ultimatelysocial.com/Family-themed-icons/?utm_source=any_settings_page&utm_campaign=Family_icons&utm_medium=banner,
Communications,"antenna, telephone, GLONASS, telecommunication, satellite, networking, telecom, tel-co","GPS, GSM, CDMA, LTE, GPRS, HSDPA, HSUPA",,Are you a telecommunications company?,https://www.ultimatelysocial.com/Communications-themed-icons/?utm_source=any_settings_page&utm_campaign=Communications_icons&utm_medium=banner,
Construction,"construction, bulldozer, piledriver, steamroller, excavator, prefabricate, hardhat, hard-hat, scaffold, scaffolding, cemento",cement,,Are you a construction company?,https://www.ultimatelysocial.com/Construction-themed-icons/?utm_source=any_settings_page&utm_campaign=Construction_icons&utm_medium=banner,
History,"history, historian, helennistic, ancient world, medieval, renaissance, romanempire, pharaoh","ancient, antiquity",,Is your site about History?,https://www.ultimatelysocial.com/History-themed-icons/?utm_source=any_settings_page&utm_campaign=History_icons&utm_medium=banner,
Education,"education, educator, school, university, lyceum, ateneo, università. student, career, instituto, escuela, teacher, alumni, universitario, universitaria, jobs","edu, job","joben, jobless",Is your site about Education?,https://www.ultimatelysocial.com/Education-themed-icons/?utm_source=any_settings_page&utm_campaign=Education_icons&utm_medium=banner,
Furniture,"Furniture, sofa,","carpet, carpets, chair, chairs,",redcarpet,Is your site about furnitures?,https://www.ultimatelysocial.com/Furniture-themed-icons/?utm_source=any_settings_page&utm_campaign=Furniture_icons&utm_medium=banner,
